hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,Size_m2
Lamar Al Bawadi Hotel,Jeddah  ,285,Executive Suite,1,8.0,Good,1664,28
Home Inn Hotel Suites,Riyadh,210,Junior Suite,2,8.7,Fabulous,818,39
Al Musafer Hotel Riyadh,Riyadh ,142,Twin Room,2,5.9,Very good,608,30
Hilton Garden Inn Riyadh Financial District,Riyadh ,539,King Room,1,7.4,Good,700,29
شقق جنان المفروشة Jenaan Apartments,Najran ,133,One-Bedroom Apartment,1,8.1,Good,280,35
Maset Al Masem Al Khobar,Riyadh ,300,Double Room with Private Bathroom,2,7.9,Good,648,30
دار شيمة,Hail,130,Deluxe Double Room,2,0.0,Very good,0,37
Al Taif Gate Hotel Suites,Taif,167,One-Bedroom Apartment,1,7.6,Good,4328,35
ريف العلا,Al Ula,250,King Room,1,7.8,Good,9,28
Oasis Rise Hotel Apartments,Jeddah,207,Studio,1,7.9,Good,490,28
Al Rahaa Furnished Units,Abha,195,Two-Bedroom Apartment,3,7.8,Good,1378,35
بيتي الفاخرللشقق الفندقية,Riyadh,250,One-Bedroom Apartment,2,8.8,Fabulous,11,29
Farah Hotel,Makkah,65,Double Room with Private Bathroom,2,7.2,Good,260,35
الليل لك للاجنحه الفندقيه 2,Hail,182,Two-Bedroom Apartment,2,5.9,Very good,18,30
أجنحة ورد,Madinah,131,Junior Suite,3,5.7,Very good,103,37
Najd Peak By Quiet Rooms,Riyadh ,162,One-Bedroom Apartment,2,5.4,Very good,530,28
شقق جنان المفروشة Jenaan Apartments,Najran ,133,One-Bedroom Apartment,2,8.1,Good,280,40
Rafa Homes - Al Falah,Riyadh ,336,Standard One-Bedroom Apartment,1,7.6,Good,982,28
القبة الذهبية1,Riyadh ,205,Two-Bedroom Apartment,3,6.6,Very good,180,28
Al Taif Gate Hotel Suites,Taif,167,One-Bedroom Apartment,1,7.6,Good,4329,40
Mandaren Suites,Taif,280,One-Bedroom Apartment,1,8.7,Fabulous,251,54
Nozol Royal Inn Hotel,Madinah,189,Quadruple Room with Bathroom,4,7.0,Good,4108,28
Al Atlal Hotel,Al Khobar,207,Double Room,1,6.9,Very good,1353,28
منتجع ومزرعة الرند العلا,Al Ula,1250,Two-Bedroom Chalet without pool,5,7.2,Good,8,35
Zahrat Rozah By Quiet Rooms,Riyadh,189,One-Bedroom Apartment,2,6.7,Very good,346,29
Al Eairy Apartments- Tabuk 4,Tabuk,150,Apartment,3,5.0,Very good,327,35
فندق عروق الذهب المكية 1,Makkah,57,Double Room with Private Bathroom,2,7.2,Good,65,30
Methaq Hotel Suites,Riyadh,230,One-Bedroom Apartment,1,6.7,Very good,260,37
Al Safa Hotel Suites,Jazan,151,One-Bedroom Apartment,2,7.5,Good,1331,28
Golden Tulip Al Waha Hotel - Unayzah,Unayzah,350,Standard King Room,1,8.9,Fabulous,44,40
Nawazi Ajyad Hotel,Makkah,123,Double Room,1,6.3,Very good,3674,28
أبهى رفاف خميس مشيط,Khamis Mushayt,79,Budget Double Room,1,4.0,Very good,14,28
Dar Sadan Hotel Suites,Al Bukayriyah,220,Studio,1,7.5,Good,221,35
Rotana Hotel,Jeddah,161,Superior Twin Room,2,7.7,Good,1130,29
Capital O 419 Al Safeer Hotel,Riyadh,120,Standard Studio,2,5.9,Very good,1204,35
استراحة روح ابحر,Jeddah  ,720,Two-Bedroom Chalet,4,6.8,Very good,5,88
Pullman ZamZam Makkah,Makkah,330,Superior Twin Room with Partial Haram View,2,7.2,Good,23493,37
Swissotel Al Maqam Makkah,Makkah,360,Classic Twin Room with Haram View,2,8.3,Good,21957,28
فندق المختارون بلازا,Makkah,60,Deluxe Double Room,1,6.8,Very good,145,40
Rawasi Hotel Suites 3 (For Families Only),Jeddah,250,Two-Bedroom Apartment,3,7.6,Good,264,40
Samaya Royal Afif,Afīf,170,Superior Apartment,2,8.3,Good,253,37
RAK Hotel-Aparts,Jeddah,218,Premiere Double Room,1,7.4,Good,1361,35
Lavent Park Hotel Suites,Jeddah,210,Standard King Room,1,7.2,Good,548,29
دار كنان للوحدات السكنية,Jeddah,93,Budget Room,1,6.2,Very good,1020,35
Al Muhaidb Al Hada Resort,Taif,236,Economy Double Room,1,7.8,Good,802,33
Spectrums Residence Managed by The Ascott Limited,Jeddah,405,One-Bedroom Apartment,1,8.2,Good,1524,28
القصر للأجنحة الفندقية 9 البديع,Abha  ,565,Junior Suite,2,9.4,Superb,20,28
شقة شاطئ النخيل,Jeddah ,514,Three-Bedroom Apartment,7,8.3,Good,26,88
Dana Hotel & Residences 2,Riyadh ,270,One-Bedroom Suite,2,9.2,Superb,345,29
Hotel Ritaj Alsahel,Yanbu  ,200,Deluxe Room,1,7.9,Good,849,35
سكن وسط الطبيعة,Jeddah,372,One-Bedroom House,2,9.7,Exceptional,6,30
Diamond Elite Hotel,Jazan  ,225,Twin Room,2,8.2,Good,1272,37
حياة ريف للوحدات السكنية,Jeddah,143,One-Bedroom Apartment,2,7.7,Good,278,28
Ewaa Express Hotel - Gaber,Riyadh  ,375,Suite,1,8.9,Fabulous,562,40
"Radisson Blu Residence, Dhahran", Al Khobar ,349,Standard Room,1,8.3,Good,2955,28
Al kharboush For Furnished Units,Hafr Al Baten  ,148,Deluxe Room (2 Adults + 1 Child),1,8.2,Good,824,28
